Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_27,Day35,55.73107,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day42,66.32426,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day49,70.85957,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day56,148.2551,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day63,58.43393,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day77,40.71529,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day91,43.3504,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day7,8.050896,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day14,2.812767,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day21,2.013602,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day28,23.08123,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day35,60.2579,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day42,104.5742,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day49,129.5253,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day56,186.1317,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day63,184.3214,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day77,163.7085,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_28,Day91,132.1162,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day7,0.1,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day14,6.298006,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day21,6.19455,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day28,64.32382,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day35,79.56292,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day42,71.65427,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day49,66.96016,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day56,121.4733,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day63,49.08223,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day77,45.61094,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_29,Day91,38.1478,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day7,0.5002653,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day14,12.68298,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day21,8.822088,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day28,20.56324,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day35,15.48446,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day42,14.69753,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day49,11.454,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day56,31.82456,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day63,7.228927,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day77,2.971057,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_30,Day91,-2.142207,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_31,Day7,0.8607703,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day14,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day21,30.97445,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day28,22.5274,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day35,89.8941,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day42,133.2678,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day49,144.4761,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day56,113.7169,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day63,187.4503,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day77,102.2864,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_31,Day91,77.60854,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day7,1.065075,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day14,101.3444,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day21,148.5657,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day28,25.8955,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day35,206.2642,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day42,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day49,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day56,234.7374,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day63,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day77,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_32,Day91,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day7,0.1,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day14,32.23401,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day21,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day28,43.13202,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day35,168.7608,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day42,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day49,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day56,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day63,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day77,134.3335,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_33,Day91,132.7428,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day7,0.1,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day14,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day21,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day28,26.35855,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day35,68.23975,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day42,108.1865,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day49,141.9985,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day56,126.7329,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day63,147.9471,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day77,97.02924,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_34,Day91,99.49329,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day7,0.1,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day14,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day21,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day28,17.53053,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day35,55.8874,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day42,74.23905,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day49,78.00393,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day56,88.32806,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day63,68.75169,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day77,58.90275,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_35,Day91,50.75866,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day7,0.0405333,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day14,11.55253,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day21,22.12712,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day28,21.8047,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day35,104.5669,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day42,90.06842,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day49,79.44986,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day56,118.3707,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day63,74.74479,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day77,50.98301,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_36,Day91,46.20832,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day7,0.1,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day14,12.54016,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day21,25.22714,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day28,26.54677,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day35,203.6721,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day42,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day49,254.4255,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day56,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day63,-,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day77,151.315,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_37,Day91,145.0545,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day7,0.2809453,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day14,23.77241,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day21,18.16383,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day28,52.92432,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day35,163.3791,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day42,140.1067,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day49,97.84652,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day56,115.9003,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day63,87.06029,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day77,47.03642,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_38,Day91,34.96545,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day7,0.7805063,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day14,23.00551,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day21,20.21063,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day28,30.15788,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day35,177.0223,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day42,237.4574,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day49,135.0274,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day56,486.5504,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day63,272.7874,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day77,82.15224,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_39,Day91,80.86802,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day7,1.99948,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day14,18.62479,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day21,16.70551,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day28,17.07726,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day35,114.8136,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day42,199.318,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day49,157.8427,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day56,394.3969,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day63,168.4401,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day77,105.5514,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_40,Day91,82.58067,Exp Increase 2wk,Fig2C-Purple
2016 Tam,Mouse_41,Day7,0.4284213,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day14,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day21,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day28,0.6492847,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day35,0.540032,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day42,0.1353171,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day49,0.7025001,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day56,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day63,0.4927871,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day77,0.9824713,Bolus,Fig2C-Red
2016 Tam,Mouse_41,Day91,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day7,0.3600703,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day14,0.3574969,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day21,0.8084015,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day28,9.439765,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day35,8.912962,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day42,6.709359,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day49,7.484022,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day56,7.863651,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day63,8.077077,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day77,11.81818,Bolus,Fig2C-Red
2016 Tam,Mouse_42,Day91,6.011402,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day7,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day14,4.457585,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day21,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day28,3.415436,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day35,8.383817,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day42,6.276068,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day49,11.33349,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day56,9.842754,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day63,11.04791,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day77,12.12773,Bolus,Fig2C-Red
2016 Tam,Mouse_43,Day91,8.831021,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day7,0.4049843,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day14,0.658249,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day21,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day28,6.047581,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day35,9.944006,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day42,15.50975,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day49,17.43014,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day56,15.05373,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day63,16.99369,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day77,17.77433,Bolus,Fig2C-Red
2016 Tam,Mouse_44,Day91,13.25609,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day7,1.171809,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day14,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day21,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day28,0.7187617,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day35,2.197856,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day42,1.025427,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day49,2.601015,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day56,2.052151,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day63,0.09786705,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day77,0.3348513,Bolus,Fig2C-Red
2016 Tam,Mouse_45,Day91,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day7,0.7699653,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day14,2.917899,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day21,2.24421,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day28,9.337754,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day35,9.092009,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day42,8.202265,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day49,8.335614,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day56,10.9957,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day63,5.8068,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day77,21.40837,Bolus,Fig2C-Red
2016 Tam,Mouse_46,Day91,3.513979,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day7,0.9603563,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day14,2.160782,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day21,1.680375,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day28,4.258047,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day35,5.879892,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day42,5.563866,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day49,5.01044,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day56,6.466646,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day63,5.16367,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day77,1.532796,Bolus,Fig2C-Red
2016 Tam,Mouse_47,Day91,1.477147,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day7,0.2366343,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day14,0.587392,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day21,1.394806,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day28,5.926659,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day35,9.026318,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day42,9.839554,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day49,8.641075,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day56,11.79516,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day63,10.28031,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day77,5.372367,Bolus,Fig2C-Red
2016 Tam,Mouse_48,Day91,5.804266,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day7,0.0210463,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day14,2.903148,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day21,1.377146,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day28,3.857029,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day35,8.170665,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day42,8.067118,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day49,23.71471,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day56,31.81308,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day63,13.49299,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day77,5.776322,Bolus,Fig2C-Red
2016 Tam,Mouse_49,Day91,5.797996,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day7,0.1,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day14,0.490111,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day21,0.4514005,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day28,8.057067,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day35,14.24833,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day42,12.16447,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day49,13.48518,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day56,33.40023,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day63,15.6095,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day77,11.27946,Bolus,Fig2C-Red
2016 Tam,Mouse_50,Day91,9.422441,Bolus,Fig2C-Red
2016 Tam,Mouse_51,Day7,0.0623823,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day14,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day21,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day28,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day35,1.115807,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day42,1.722887,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day49,1.938876,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day56,0.5407185,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day63,0.457884,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day77,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_51,Day91,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day7,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day14,0.905238,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day21,0.1901905,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day28,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day35,10.14305,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day42,27.62632,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day49,12.43471,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day56,27.41543,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day63,47.45133,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day77,23.03142,Boost d28,Fig2C-Brown
2016 Tam,Mouse_52,Day91,22.57694,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day7,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day14,-,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day21,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day28,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day35,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day42,0.1922721,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day49,10.23677,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day56,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day63,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day77,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_53,Day91,0.4521165,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day7,0.9157993,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day14,1.022765,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day21,0.8058765,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day28,1.141702,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day35,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day42,20.13402,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day49,28.83369,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day56,33.94056,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day63,32.53836,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day77,24.92964,Boost d28,Fig2C-Brown
2016 Tam,Mouse_54,Day91,25.94543,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day7,1.566728,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day14,0.7015759,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day21,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day28,0.2251527,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day35,3.65126,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day42,6.868835,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day49,12.7864,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day56,6.701519,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day63,10.85283,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day77,10.11606,Boost d28,Fig2C-Brown
2016 Tam,Mouse_55,Day91,6.03025,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day7,0.5196673,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day14,1.496611,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day21,0.8843365,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day28,0.9491407,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day35,15.93892,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day42,33.68837,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day49,29.58995,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day56,52.9869,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day63,39.41295,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day77,10.84713,Boost d28,Fig2C-Brown
2016 Tam,Mouse_56,Day91,18.48449,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day7,0.2342773,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day14,0.543852,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day21,0.3931645,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day28,0.3892387,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day35,26.7723,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day42,43.25552,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day49,44.30054,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day56,68.64944,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day63,36.73199,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day77,23.73227,Boost d28,Fig2C-Brown
2016 Tam,Mouse_57,Day91,14.40769,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day7,1.068241,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day14,1.133545,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day21,1.84727,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day28,1.13152,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day35,14.76154,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day42,15.28744,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day49,13.69482,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day56,24.85775,Boost d28,Fig2C-Brown
